"","p_name","Number_of_Articles"
"1","Acacia nilotica subsp. kraussia",1
"2","Arctopus echitus, Artemisa afra, and Mentha aquatica",1
"3","Boophane disticha",1
"4","Cadribine",1
"5","Curcuma longa",1
"6","Harpagophytum procumbens DC",1
"7","Herbal tea",1
"8","Hypoxis hemerocallidea",1
"9","Persea america Mill (Lauraceae)",1
"10","Rhus chirindensis stem-bark",1
"11","Rooibos tea",1
"12","Sceletium tortuosum",1
"13","Searsia species",1
"14","Sutherlandia frutescens",2
"15","Sutherlandia frutescens R. BR.",1
"16","Tsrcnonentnus cemonoretus, Eriocephalu5 etrtcenus",1
"17","Tylecodon wallichii",1
"18","Urginea sanguinea Shinz",1
"19","Z. mucrota roots, L. schweinfurthii roots, T. sericea roots, C. bulbispermum roots, C. bulbispermum bulbs",1
