"","Institution","Category_of_Authors","Number_of_Articles"
"1","ANPL","Multiple",1
"2","CBMH","Multiple",1
"3","CBMH","Single",1
"4","CPUT","Multiple",1
"5","CPUT","Single",1
"6","CSI","Multiple",2
"7","CSIR","Multiple",1
"8","DM","Multiple",1
"9","DUT","Multiple",2
"10","ELHC","Multiple",1
"11","GH","Multiple",1
"12","HC","Multiple",1
"13","HSRC","Multiple",1
"14","IALCH","Multiple",4
"15","IOO","Multiple",1
"16","JH","Multiple",4
"17","JZ","Multiple",1
"18","KEVH","Multiple",1
"19","KTHC","Multiple",1
"20","LU","Multiple",1
"21","MEDUNSA","Multiple",11
"22","MEDUNSA","Single",1
"23","MPR","Multiple",1
"24","MRC","Multiple",10
"25","NHLS","Multiple",1
"26","NICD","Multiple",2
"27","NMTH","Multiple",1
"28","NMU","Multiple",4
"29","NREBU","Multiple",1
"30","NWU","Multiple",47
"31","NWU","Single",4
"32","NZG","Multiple",3
"33","OBPL","Multiple",1
"34","OVT","Multiple",2
"35","PAOH","Multiple",2
"36","PFCW","Multiple",1
"37","PPMC","Multiple",1
"38","PU","Multiple",1
"39","RMMCH","Multiple",1
"40","RU","Multiple",37
"41","RU","Single",1
"42","SABRI","Multiple",4
"43","SAMRC","Multiple",2
"44","SCAH","Multiple",1
"45","SOC","Multiple",1
"46","STDH","Multiple",1
"47","SU","Multiple",12
"48","TN","Multiple",1
"49","TSA","Multiple",1
"50","TUT","Multiple",3
"51","UAH","Multiple",1
"52","UCT","Multiple",254
"53","UCT","Single",8
"54","UDW","Multiple",7
"55","UFS","Multiple",6
"56","UFS","Single",1
"57","UH","Multiple",1
"58","UIU","Multiple",1
"59","UJ","Multiple",2
"60","UJ","Single",1
"61","UKZN","Multiple",104
"62","UKZN","Single",8
"63","UL","Multiple",6
"64","UL","Single",1
"65","UNISA","Multiple",138
"66","UNISA","Single",7
"67","UoN","Multiple",2
"68","UoP","Multiple",1
"69","UoS","Multiple",1
"70","UoT","Multiple",2
"71","UP","Multiple",100
"72","UP","Single",5
"73","UPE","Multiple",2
"74","UTM","Multiple",1
"75","UWC","Multiple",19
"76","UWC","Single",1
"77","VMC","Multiple",2
"78","VPH","Multiple",1
"79","WH","Multiple",4
"80","Wits","Multiple",188
"81","Wits","Single",19
"82","WSU","Multiple",1
