"","Institution","Historically_Adv_Disav","International_collab","Number_of_Articles"
"1","ANPL","Advantage",44,1
"2","UCT","Advantage",0,159
"3","UCT","Advantage",44,59
"4","UCT","Advantage",53,1
"5","UCT","Advantage",56,4
"6","UCT","Advantage",57,15
"7","UCT","Advantage",102,6
"8","UCT","Advantage",105,1
"9","UWC","Disadvantage",0,4
"10","UWC","Disadvantage",44,2
"11","UWC","Disadvantage",50,1
"12","UWC","Disadvantage",54,1
"13","Wits","Advantage",0,115
"14","Wits","Advantage",37,2
"15","Wits","Advantage",44,47
"16","Wits","Advantage",53,3
"17","Wits","Advantage",56,6
"18","Wits","Advantage",57,6
"19","Wits","Advantage",101,3
"20","Wits","Advantage",102,15
"21","Wits","Advantage",103,1
"22","Wits","Disadvantage",44,1
