"","year","country","topic","authors","no_authors","title","institution","journal","african_journal","impact","citations","model","genetic","research_types","adv_methods","plants","p_name","p_use","p_success","n_affiliations","international_collab","CC1","CC2","CC3","CC4","CC5","CC6","CC7","CC8","CC9","CC10","CC11","CC12","CC13","CC14","CC15","CC16","CC17","CC18","CC19","CC20","CC21","CC22","CC23","CC24","CC25","CC26","CC27","CC28","CC29","CC30","CC31","CC32"
"1",1996,44,1,"D. G. Du Plessis, Y. M. Mouton, C. J. Muller and D. H. Geiger",4,"An ultrastructural study of the development of the chicken perineurial sheath","University of Stellenbosch","J Anat","Yes",2.097,20,"Chicken",0,"Basic",1,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1996,44,1,"M. R. Davies",1,"Anatomy of the extrinsic motor nerve supply to mobilized segments of the oesophagus disrupted by dissection during repair of oesophageal atresia with distal fistula","University of the Witwatersrand","Br J Surg","Yes",5.899,54,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1996,44,1,"M. R. Davies",1,"Anatomy of the extrinsic nerve supply of the oesophagus in oesophageal atresia of the common type","154/28 JHB Hospital,  Johannesburg","Pediatr Surg Int","Yes",1.476,23,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1996,44,3,"G. S. Rutherfoord, M. A. Dada and J. P. Nel",3,"Cerebral infarction and intracranial arterial dissection in closed head injury","University of Stellenbosch","Am J Forensic Med Pathol","Yes",0.624,17,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1996,44,3,"A. Makangee, S. S. Nadvi and J. R. Van Dellen",3,"Invasive mole presenting as a spinal extradural tumor: case report"," University of Natal ","Neurosurgery","Yes",4.475,7,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1996,44,3,"Z. Domingo, N. D. Fisher-Jeffes and J. C. de Villiers",3,"Malignant occipital astrocytoma in a patient with Lhermitte-Duclos disease (cerebellar dysplastic gangliocytoma)","University of Cape Town","Br J Neurosurg","Yes",1.238,11,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1996,44,3,"Z. Domingo and J. Peter",2,"Midline developmental abnormalities of the posterior fossa: correlation of classification with outcome","University of Cape Town","Pediatr Neurosurg","Yes",0.782,30,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1996,44,3,"H. Coleman, M. Kennedy, M. Altini, J. Crooks and P. Tsakiris",5,"Neuroendocrine (carcinoid) tumor of the mandible: a case report and review of the literature","University of the Witwatersrand, Johannesburg,","Psychol Health Med","Yes",1.769,16,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1996,44,3,"M. D. Lucas and B. R. Sonnenberg",2,"Neuropsychological trends in the parkinsonism-plus syndrome: a pilot study","University of the Witwatersrand","Metab Brain Dis","Yes",1.992,4,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1996,44,9,"J. F. Schoeman, E. M. Honey and D. B. Loock",3,"Raised ICP in a child with cryptococcal meningitis: CT evidence of a distal CSF block","University of Stellenbosch","Hand Surg","Yes",1.235,10,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1996,44,7,"F. J. Lichtigfeld and M. A. Gillman",2,"Role of dopamine mesolimbic system in opioid action of psychotropic analgesic nitrous oxide in alcohol and drug withdrawal","South African Brain Research Institute","J Obstet Gynaecol","Yes",2.009,26,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1996,44,4,"M. H. Wildman and A. J. Cannone",2,"Sensory characteristics of the P afferent neurone of the crab thoracic-coxal muscle receptor organ","University of the Witwatersrand, Johannesburg,","J Psychosom Res","Yes",0,2,"Crab",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1996,44,4,"M. Wildman and A. Cannone",2,"Sensory feedback and central afferent interaction in the muscle receptor organ of the crab, Carcinus maenas","University of the Witwatersrand","J Comp Physiol A","Yes",2.887,7,"Crab",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1996,44,1,"D. Constant and H. Ruther",2,"Sexual dimorphism in the human corpus callosum? A comparison of methodologies","University of Cape Town","Brain Res Bull","Yes",3.125,51,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1996,44,3,"J. J. van der Lugt, J. Olivier and P. Jordaan",3,"Status spongiosis, optic neuropathy, and retinal degeneration in Helichrysum argyrosphaerum poisoning in sheep and a goat","Onderstepoort Veterinary Institute","Neurosurgery","Yes",1.869,49,"Sheep,Goat",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1996,44,3,"N. S. Levitt, K. B. Stansberry, S. Wynchank and A. I. Vinik",4,"The natural progression of autonomic neuropathy and autonomic function tests in a cohort of people with IDDM","University of Cape Town","Neuromuscul Disord","Yes",13.397,103,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1996,44,9,"D. M. Raidoo, N. Ramchurren, Y. Naidoo, S. Naidoo, W. Muller-Esterl and K. D. Bhoola",6,"Visualisation of bradykinin B2 receptors on human brain neurons","Natal Medical School","Immunopharmacology","Yes",1.203,52,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1996,44,3,"L. Celgow, R. J. Cohn and A. J. Sacks",3,"Disseminated mucormycosis: report of a successfully treated immunosuppressed child with clinical, radiographic and pathological findings","Johannesburg Hospital, Johannesburg,","Pediatr Radiol","Yes",1.826,7,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1996,44,3,"F. J. Botha, P. van der Bijl, H. I. Seifart and D. P. Parkin",4,"Fluctuation of the volume of distribution of amikacin and its effect on once-daily dosage and clearance in a seriously ill patient","University of Stellenbosch, Tygerberg","Intensive Care Med","Yes",15.008,33,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1996,44,2,"A. H. Engelbrecht, V. A. Russell, M. Mintz, M. C. Lamm, L. Kellaway, L. J. Herberg and J. J. Taljaard",7,"Kindled seizures do not affect adenosinergic inhibition of DA or ACh release in rat accumbens or PFC","University of Stellenbosch","Pharmacol Biochem Behav","Yes",2.538,2,"Rat",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1996,44,3,"R. Emsley, R. Smith, M. Roberts, S. Kapnias, H. Pieters and S. Maritz",6,"Magnetic resonance imaging in alcoholic Korsakoff's syndrome: evidence for an association with alcoholic dementia","University of Stellenbosch","Alcohol Alcohol","Yes",2.167,39,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1996,44,2,"P. van der Bijl and T. L. Lamb",2,"Prolonged diplopia following a mandibular block injection","University of Stellenbosch, & Medical and Dental Centre","Pediatr Infect Dis J","Yes",1,22,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1996,44,6,"G. P. Jordaan, M. C. Roberts and R. A. Emsley",3,"Serotonergic agents in the treatment of hypothalamic obesity syndrome: a case report","University of Stellenbosch, Tygerberg Hospital","S Afr Med J","Yes",3.567,7,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
