Year,Country,Topic,Authors,No_Authors,Category_of_Authors,Title,Papers_Published,Institutions,Curated_Institution,Institution,Historically_Adv_Disav,Journal,African_Journal,Impact,Means_Citations,Model,Genetic,Research_Types,Adv_Methods,Medicinal_Plants_Usage,P_Name,P_Use,P_Success,N_affiliations,InternationalCollab,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32
2015,44,3,L. D. Africa and C. Smith,2,Multiple,Sutherlandia frutescens may exacerbate HIV-associated neuroinflammation,1,University Stellenbosch,Ampath National Pathology Laboratories,ANPL,Advantage,S Afr Med J,African Journals,0,20,Antelope,0,Basic,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,6,"M. M. Fourie, H. G. Rauch, B. E. Morgan, G. F. Ellis, E. R. Jordaan and K. G. Thomas",6,Multiple,"Guilt and pride are heartfelt, but not equally so",1," Medical Research Council, Tygerberg, South Africa,  University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Psychophysiology,African Journals,2.981,25,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,3,"H. E. Badenhorst, D. S. Maharaj, S. F. Malan, S. Daya and S. van Dyk",5,Multiple,Histamine-3 receptor antagonists reduce superoxide anion generation and lipid peroxidation in rat brain homogenates,1, North-West University,University Cape Town,UCT,Advantage,J Pharm Pharmacol,African Journals,2.578,107,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,44,7,"B. H. Harvey, L. P. Jonker, L. Brand, M. Heenop and D. J. Stein",5,Multiple,"NMDA receptor involvement in imipramine withdrawal-associated effects on swim stress, GABA levels and NMDA receptor binding in rat hippocampus",1," Potchefstroom University for Christian Higher Education, University of Stellenbosch",University Cape Town,UCT,Advantage,Metab Brain Dis,African Journals,3.234,6,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,44,9,"W. J. Geldenhuys, G. Terre'Blanche, C. J. Van der Schyf and S. F. Malan",4,Multiple,Screening of novel pentacyclo-undecylamines for neuroprotective activity,1," Potchefstroom University for Christian Higher Education,Texas Tech University Health Sciences Center, School of Pharmacy",University Cape Town,UCT,Advantage,Eur J Hum Genet,African Journals,3.148,19,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,44,6,"J. Zah, G. Terre'Blanche, E. Erasmus and S. F. Malan",4,Multiple,Physicochemical prediction of a brain-blood distribution profile in polycyclic amines,1, Pothefstroom University,University Cape Town,UCT,Advantage,Pediatr Pulmonol,African Journals,2.901,223,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,44,8,"V. Russell, S. Allie and T. Wiggins",3,Multiple,Increased noradrenergic activity in prefrontal cortex slices of an animal model for attention-deficit hyperactivity disorder--the spontaneously hypertensive rat,1, University of Cape Town,University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,50,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,3,"B. A. Tarr, L. A. Kellaway, A. St Clair Gibson and V. A. Russell",4,Multiple,Voluntary running distance is negatively correlated with striatal dopamine release in untrained rats,1, University of Cape Town,University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,17,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,6,T. D. Noakes,1,Single,Time to move beyond a brainless exercise physiology: the evidence for complex regulation of human exercise performance,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Recent Pat CNS Drug Discov,African Journals,2.513,14,Human,0,Clinical,Standard,No,,,,2,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,A. A. Figaji and S. J. Kent,2,Multiple,Brain tissue oxygenation in children diagnosed with brain death,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Neurocrit Care,African Journals,3.163,13,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
