"","Year","Mean_Citations","Research_Types","Papers_Published"
"1",1996,0,"Clinical",1
"2",1996,1,"Basic",1
"3",1996,2,"Clinical",1
"4",1996,3,"Basic",1
"5",1996,4,"Basic",1
"6",1996,5,"Basic",1
"7",1996,8,"Basic",1
"8",1996,12,"Basic",1
"9",1996,15,"Basic",1
"10",1996,17,"Basic",1
"11",1996,17,"Clinical",2
"12",1996,18,"Clinical",1
"13",1996,20,"Basic",2
"14",1996,24,"Basic",2
"15",1996,24,"Clinical",1
"16",1996,33,"Basic",1
"17",1996,35,"Basic",1
"18",1996,35,"Clinical",1
"19",1996,37,"Clinical",1
"20",1996,55,"Basic",1
"21",1996,69,"Clinical",1
"22",1996,120,"Clinical",1
"23",1996,643,"Basic",1
"24",1997,4,"Basic",1
"25",1997,5,"Basic",1
"26",1997,6,"Clinical",1
"27",1997,7,"Basic",1
"28",1997,9,"Basic",1
"29",1997,10,"Clinical",1
"30",1997,13,"Basic",1
"31",1997,15,"Clinical",1
"32",1997,17,"Basic",1
"33",1997,21,"Basic",1
"34",1997,22,"Basic",1
"35",1997,23,"Clinical",1
"36",1997,26,"Clinical",1
"37",1997,27,"Clinical",1
"38",1997,34,"Clinical",1
"39",1997,36,"Basic",1
"40",1997,47,"Clinical",1
"41",1997,48,"Clinical",1
"42",1997,51,"Basic",1
"43",1997,61,"Basic",1
"44",1997,67,"Clinical",1
"45",1997,76,"Clinical",1
"46",1997,107,"Clinical",1
"47",1998,1,"Basic",1
"48",1998,2,"Basic",1
"49",1998,3,"Basic",2
"50",1998,5,"Basic",1
"51",1998,7,"Clinical",1
"52",1998,8,"Basic",1
"53",1998,8,"Clinical",1
"54",1998,10,"Basic",1
"55",1998,13,"Basic",1
"56",1998,17,"Basic",1
"57",1998,17,"Clinical",1
"58",1998,18,"Clinical",1
"59",1998,19,"Basic",2
"60",1998,22,"Basic",1
"61",1998,28,"Basic",1
"62",1998,42,"Basic",1
"63",1998,44,"Basic",1
"64",1998,48,"Basic",1
"65",1998,57,"Clinical",1
"66",1998,101,"Basic",1
"67",1998,207,"Clinical",1
"68",1999,0,"Clinical",2
"69",1999,1,"Basic",3
"70",1999,3,"Basic",1
"71",1999,3,"Clinical",1
"72",1999,4,"Basic",1
"73",1999,5,"Clinical",1
"74",1999,6,"Basic",1
"75",1999,9,"Clinical",1
"76",1999,10,"Clinical",2
"77",1999,13,"Basic",1
"78",1999,14,"Clinical",1
"79",1999,18,"Basic",1
"80",1999,19,"Basic",1
"81",1999,21,"Basic",2
"82",1999,21,"Clinical",1
"83",1999,22,"Clinical",1
"84",1999,30,"Basic",1
"85",1999,33,"Clinical",1
"86",1999,47,"Basic",1
"87",1999,53,"Basic",1
"88",1999,60,"Basic",1
"89",1999,64,"Clinical",1
"90",1999,69,"Clinical",1
"91",1999,70,"Clinical",1
"92",1999,77,"Basic",1
"93",1999,92,"Basic",1
"94",1999,94,"Basic",1
"95",1999,134,"Basic",1
"96",2000,0,"Basic",1
"97",2000,0,"Clinical",2
"98",2000,1,"Clinical",1
"99",2000,2,"Clinical",1
"100",2000,3,"Clinical",3
"101",2000,4,"Basic",2
"102",2000,5,"Clinical",1
"103",2000,6,"Clinical",1
"104",2000,7,"Clinical",1
"105",2000,8,"Clinical",1
"106",2000,10,"Basic",2
"107",2000,14,"Basic",1
"108",2000,14,"Clinical",1
"109",2000,15,"Clinical",1
"110",2000,16,"Basic",1
"111",2000,16,"Clinical",1
"112",2000,17,"Basic",1
"113",2000,18,"Basic",1
"114",2000,23,"Basic",3
"115",2000,24,"Clinical",1
"116",2000,27,"Clinical",1
"117",2000,29,"Basic",1
"118",2000,31,"Basic",1
"119",2000,32,"Clinical",1
"120",2000,41,"Clinical",1
"121",2000,44,"Clinical",1
"122",2000,46,"Clinical",1
"123",2000,47,"Clinical",1
"124",2000,50,"Clinical",1
"125",2000,52,"Basic",1
"126",2000,56,"Clinical",2
"127",2000,61,"Clinical",1
"128",2000,62,"Basic",1
"129",2000,67,"Clinical",1
"130",2000,77,"Basic",1
"131",2000,100,"Clinical",1
"132",2000,118,"Clinical",1
"133",2000,127,"Clinical",1
"134",2000,NA,"Clinical",1
"135",2001,3,"Basic",1
"136",2001,4,"Basic",1
"137",2001,4,"Clinical",1
"138",2001,6,"Basic",1
"139",2001,7,"Basic",2
"140",2001,8,"Clinical",1
"141",2001,9,"Basic",1
"142",2001,10,"Clinical",1
"143",2001,13,"Basic",2
"144",2001,13,"Clinical",1
"145",2001,14,"Clinical",1
"146",2001,15,"Clinical",1
"147",2001,17,"Clinical",1
"148",2001,21,"Basic",1
"149",2001,22,"Clinical",1
"150",2001,26,"Basic",1
"151",2001,28,"Basic",2
"152",2001,34,"Clinical",1
"153",2001,36,"Clinical",1
"154",2001,47,"Clinical",1
"155",2001,57,"Basic",1
"156",2001,73,"Basic",1
"157",2001,105,"Clinical",1
"158",2001,286,"Basic",1
"159",2002,0,"Clinical",1
"160",2002,1,"Clinical",1
"161",2002,4,"Clinical",1
"162",2002,5,"Clinical",1
"163",2002,6,"Basic",1
"164",2002,6,"Clinical",2
"165",2002,8,"Basic",1
"166",2002,8,"Clinical",1
"167",2002,11,"Basic",1
"168",2002,13,"Basic",1
"169",2002,13,"Clinical",1
"170",2002,14,"Basic",3
"171",2002,15,"Basic",2
"172",2002,15,"Clinical",1
