"","Institution","Mean_Citations","Mean_C"
"1","ANPL",20,1
"2","CBMH",17,1
"3","CBMH",22,1
"4","CPUT",17,1
"5","CPUT",21,1
"6","CSI",6,1
"7","CSI",27,1
"8","CSIR",33,1
"9","DM",0,1
"10","DUT",43,1
"11","DUT",51,1
"12","ELHC",12,1
"13","GH",13,1
"14","HC",29,1
"15","HSRC",7,1
"16","IALCH",1,1
"17","IALCH",2,1
"18","IALCH",4,1
"19","IALCH",23,1
"20","IOO",4,1
"21","JH",2,1
"22","JH",20,2
"23","JH",21,1
"24","JZ",7,1
"25","KEVH",12,1
"26","KTHC",12,1
"27","LU",9,1
"28","MEDUNSA",9,1
"29","MEDUNSA",13,1
"30","MEDUNSA",14,1
"31","MEDUNSA",15,1
"32","MEDUNSA",18,1
"33","MEDUNSA",23,1
"34","MEDUNSA",24,1
"35","MEDUNSA",25,1
"36","MEDUNSA",31,1
"37","MEDUNSA",32,1
"38","MEDUNSA",39,1
"39","MEDUNSA",55,1
"40","MPR",17,1
"41","MRC",1,1
"42","MRC",8,1
"43","MRC",10,1
"44","MRC",12,2
"45","MRC",22,1
"46","MRC",23,1
"47","MRC",31,1
"48","MRC",52,1
"49","MRC",106,1
"50","NHLS",31,1
"51","NICD",28,1
"52","NICD",41,1
"53","NMTH",8,1
"54","NMU",13,1
"55","NMU",16,1
"56","NMU",22,1
"57","NMU",98,1
"58","NREBU",286,1
"59","NWU",1,1
"60","NWU",2,2
"61","NWU",4,1
"62","NWU",7,1
"63","NWU",8,1
"64","NWU",9,2
"65","NWU",11,1
"66","NWU",12,2
"67","NWU",13,1
"68","NWU",14,2
"69","NWU",16,1
"70","NWU",17,1
"71","NWU",18,1
"72","NWU",19,2
"73","NWU",20,1
"74","NWU",21,1
"75","NWU",22,2
"76","NWU",23,2
"77","NWU",25,2
"78","NWU",26,1
"79","NWU",27,3
"80","NWU",28,2
"81","NWU",34,1
"82","NWU",36,1
"83","NWU",38,1
"84","NWU",39,1
"85","NWU",44,1
"86","NWU",45,1
"87","NWU",46,1
"88","NWU",48,1
"89","NWU",50,1
"90","NWU",54,1
"91","NWU",56,1
"92","NWU",64,1
"93","NWU",66,1
"94","NWU",80,1
"95","NWU",83,1
"96","NWU",92,1
"97","NWU",114,1
"98","NWU",209,1
"99","NZG",49,1
"100","NZG",51,1
"101","NZG",86,1
"102","OBPL",10,1
"103","OVT",16,1
"104","OVT",22,1
"105","PAOH",2,1
"106","PAOH",7,1
"107","PFCW",14,1
"108","PPMC",7,1
"109","PU",5,1
"110","RMMCH",4,1
"111","RU",0,1
"112","RU",1,1
"113","RU",2,1
"114","RU",5,1
"115","RU",6,2
"116","RU",7,5
"117","RU",8,2
"118","RU",9,2
"119","RU",10,1
"120","RU",11,2
"121","RU",12,1
"122","RU",16,1
"123","RU",19,1
"124","RU",24,2
"125","RU",29,2
"126","RU",30,1
"127","RU",32,1
"128","RU",35,2
"129","RU",37,1
"130","RU",46,1
"131","RU",48,1
"132","RU",51,3
"133","RU",53,1
"134","RU",99,1
"135","RU",NA,1
"136","SABRI",0,2
"137","SABRI",2,1
"138","SABRI",3,1
"139","SAMRC",2,1
"140","SAMRC",5,1
"141","SCAH",2,1
"142","SOC",15,1
"143","STDH",1,1
"144","SU",1,1
"145","SU",2,1
"146","SU",8,1
"147","SU",10,1
"148","SU",20,3
"149","SU",22,1
"150","SU",35,1
"151","SU",71,1
"152","SU",72,1
"153","SU",209,1
"154","TN",38,1
"155","TSA",16,1
"156","TUT",0,1
"157","TUT",3,1
"158","TUT",10,1
"159","UAH",90,1
"160","UCT",0,2
"161","UCT",1,9
"162","UCT",2,1
"163","UCT",3,4
"164","UCT",4,5
"165","UCT",5,5
"166","UCT",6,11
"167","UCT",7,6
"168","UCT",8,3
"169","UCT",9,6
"170","UCT",10,4
"171","UCT",11,7
"172","UCT",12,8
"173","UCT",13,4
"174","UCT",14,4
"175","UCT",15,5
"176","UCT",16,6
"177","UCT",17,5
"178","UCT",18,8
"179","UCT",19,3
"180","UCT",20,2
"181","UCT",21,4
"182","UCT",22,1
"183","UCT",23,2
"184","UCT",24,2
"185","UCT",25,4
"186","UCT",26,5
"187","UCT",27,3
"188","UCT",28,6
"189","UCT",29,3
"190","UCT",30,3
"191","UCT",31,6
"192","UCT",32,2
"193","UCT",33,2
"194","UCT",34,2
"195","UCT",35,3
"196","UCT",36,2
"197","UCT",37,2
"198","UCT",38,2
"199","UCT",39,5
"200","UCT",40,3
"201","UCT",41,3
"202","UCT",42,6
"203","UCT",43,2
"204","UCT",44,1
"205","UCT",46,4
"206","UCT",47,1
"207","UCT",48,1
"208","UCT",50,3
"209","UCT",51,2
"210","UCT",52,1
"211","UCT",54,2
"212","UCT",55,3
"213","UCT",56,2
"214","UCT",57,2
"215","UCT",58,1
"216","UCT",59,2
"217","UCT",60,1
"218","UCT",61,3
"219","UCT",63,2
"220","UCT",64,1
"221","UCT",66,3
"222","UCT",67,1
"223","UCT",69,1
"224","UCT",70,2
"225","UCT",72,1
"226","UCT",73,1
"227","UCT",74,1
"228","UCT",75,2
"229","UCT",76,1
"230","UCT",80,1
"231","UCT",81,1
"232","UCT",84,1
"233","UCT",85,2
"234","UCT",90,1
"235","UCT",92,2
"236","UCT",96,1
"237","UCT",98,1
"238","UCT",100,1
"239","UCT",102,1
"240","UCT",105,5
"241","UCT",106,1
"242","UCT",107,3
"243","UCT",115,2
"244","UCT",118,2
"245","UCT",120,1
"246","UCT",122,1
"247","UCT",123,1
"248","UCT",127,1
"249","UCT",136,1
"250","UCT",148,1
"251","UCT",157,1
"252","UCT",160,1
"253","UCT",207,1
"254","UCT",223,1
"255","UCT",241,1
"256","UDW",11,1
"257","UDW",13,1
"258","UDW",22,1
"259","UDW",23,1
"260","UDW",33,1
"261","UDW",56,1
"262","UDW",82,1
"263","UFS",2,1
"264","UFS",3,1
"265","UFS",4,1
"266","UFS",8,1
"267","UFS",14,1
"268","UFS",17,1
"269","UFS",23,1
"270","UH",14,1
"271","UIU",5,1
"272","UJ",5,1
"273","UJ",11,1
"274","UJ",48,1
"275","UKZN",0,12
"276","UKZN",1,9
"277","UKZN",2,5
"278","UKZN",3,4
"279","UKZN",4,1
"280","UKZN",5,4
"281","UKZN",6,2
"282","UKZN",7,3
"283","UKZN",8,4
"284","UKZN",9,2
"285","UKZN",10,4
"286","UKZN",11,4
"287","UKZN",12,1
