"","Institution","Mean_Citations","Year","Number_of_Articles"
"1","ANPL",20,2015,1
"2","UCT",0,1996,1
"3","UCT",0,2008,1
"4","UCT",1,2005,1
"5","UCT",1,2006,1
"6","UCT",1,2007,1
"7","UCT",1,2009,1
"8","UCT",1,2017,2
"9","UCT",2,2009,1
"10","UCT",4,2007,1
"11","UCT",4,2008,1
"12","UCT",4,2016,1
"13","UCT",4,2017,1
"14","UCT",5,2004,1
"15","UCT",5,2006,1
"16","UCT",5,2010,1
"17","UCT",5,2017,2
"18","UCT",6,1997,1
"19","UCT",6,2000,1
"20","UCT",6,2002,1
"21","UCT",6,2007,1
"22","UCT",6,2008,1
"23","UCT",6,2010,1
"24","UCT",6,2016,1
"25","UCT",6,2017,4
"26","UCT",7,2000,1
"27","UCT",7,2007,1
"28","UCT",7,2011,1
"29","UCT",7,2012,1
"30","UCT",7,2017,1
"31","UCT",8,2008,2
"32","UCT",8,2011,1
"33","UCT",9,2006,1
"34","UCT",9,2010,1
"35","UCT",9,2012,1
"36","UCT",9,2017,2
"37","UCT",10,1999,1
"38","UCT",10,2006,1
"39","UCT",10,2017,1
"40","UCT",11,2005,1
"41","UCT",11,2008,1
"42","UCT",11,2009,1
"43","UCT",11,2012,1
"44","UCT",11,2015,1
"45","UCT",11,2017,2
"46","UCT",12,2005,2
"47","UCT",12,2006,1
"48","UCT",12,2008,1
"49","UCT",12,2011,1
"50","UCT",12,2012,1
"51","UCT",12,2013,1
"52","UCT",12,2017,1
"53","UCT",13,2006,1
"54","UCT",13,2008,1
"55","UCT",13,2010,1
"56","UCT",14,2006,1
"57","UCT",14,2008,1
"58","UCT",14,2011,1
"59","UCT",14,2017,1
"60","UCT",15,2000,1
"61","UCT",15,2002,1
"62","UCT",15,2007,1
"63","UCT",15,2009,2
"64","UCT",16,2007,2
"65","UCT",16,2009,1
"66","UCT",16,2011,1
"67","UCT",16,2015,1
"68","UCT",17,1996,1
"69","UCT",17,2001,1
"70","UCT",17,2004,1
"71","UCT",17,2008,1
"72","UCT",17,2017,1
"73","UCT",18,1998,1
"74","UCT",18,2007,1
"75","UCT",18,2010,1
"76","UCT",18,2011,1
"77","UCT",18,2014,1
"78","UCT",18,2017,2
"79","UCT",19,2003,1
"80","UCT",19,2011,1
"81","UCT",20,2010,1
"82","UCT",20,2017,1
"83","UCT",21,2003,1
"84","UCT",21,2013,1
"85","UCT",21,2016,1
"86","UCT",21,2017,1
"87","UCT",22,2004,1
"88","UCT",23,2008,1
"89","UCT",23,2017,1
"90","UCT",24,1996,1
"91","UCT",24,2017,1
"92","UCT",25,2011,2
"93","UCT",25,2013,2
"94","UCT",26,2002,1
"95","UCT",26,2008,1
"96","UCT",26,2009,1
"97","UCT",26,2011,1
"98","UCT",26,2015,1
"99","UCT",27,2000,1
"100","UCT",27,2009,1
"101","UCT",27,2017,1
"102","UCT",28,2006,1
"103","UCT",28,2007,1
"104","UCT",28,2008,1
"105","UCT",28,2010,1
"106","UCT",28,2011,1
"107","UCT",28,2015,1
"108","UCT",29,2009,1
"109","UCT",29,2013,1
"110","UCT",29,2017,1
"111","UCT",30,2002,1
"112","UCT",30,2012,1
"113","UCT",30,2017,1
"114","UCT",31,2003,1
"115","UCT",31,2005,1
"116","UCT",31,2014,1
"117","UCT",31,2015,1
"118","UCT",31,2017,2
"119","UCT",32,2000,1
"120","UCT",32,2005,1
"121","UCT",33,2016,1
"122","UCT",34,2005,1
"123","UCT",34,2010,1
"124","UCT",35,2010,1
"125","UCT",35,2011,1
"126","UCT",35,2017,1
"127","UCT",36,2011,1
"128","UCT",36,2017,1
"129","UCT",37,1996,1
"130","UCT",37,2017,1
"131","UCT",38,2008,1
"132","UCT",38,2017,1
"133","UCT",39,2002,1
"134","UCT",39,2004,1
"135","UCT",39,2012,1
"136","UCT",39,2014,1
"137","UCT",39,2015,1
"138","UCT",40,2005,1
"139","UCT",40,2017,2
"140","UCT",41,2000,1
"141","UCT",41,2008,1
"142","UCT",41,2017,1
"143","UCT",42,2007,1
"144","UCT",42,2008,1
"145","UCT",42,2011,1
"146","UCT",42,2015,1
"147","UCT",42,2016,1
"148","UCT",42,2017,1
"149","UCT",43,2008,1
"150","UCT",43,2010,1
"151","UCT",44,2010,1
"152","UCT",46,2013,1
"153","UCT",46,2014,1
"154","UCT",46,2017,1
"155","UCT",47,2011,1
"156","UCT",48,1997,1
"157","UCT",50,2000,1
"158","UCT",50,2009,1
"159","UCT",50,2010,1
"160","UCT",51,2008,1
"161","UCT",51,2017,1
"162","UCT",52,2005,1
"163","UCT",54,2006,1
"164","UCT",54,2017,1
"165","UCT",55,2006,2
"166","UCT",55,2017,1
"167","UCT",56,2000,1
"168","UCT",56,2004,1
"169","UCT",57,1998,1
"170","UCT",57,2006,1
"171","UCT",58,2017,1
"172","UCT",59,2015,1
"173","UCT",59,2017,1
"174","UCT",60,2008,1
"175","UCT",61,2000,1
"176","UCT",61,2013,1
"177","UCT",61,2017,1
"178","UCT",63,2003,1
"179","UCT",63,2012,1
"180","UCT",64,1999,1
"181","UCT",66,2004,1
"182","UCT",66,2014,1
"183","UCT",66,2017,1
"184","UCT",67,1997,1
"185","UCT",69,1999,1
"186","UCT",70,1999,1
"187","UCT",70,2017,1
"188","UCT",72,2002,1
"189","UCT",73,2015,1
"190","UCT",74,2006,1
"191","UCT",75,2007,1
"192","UCT",75,2017,1
"193","UCT",76,2017,1
"194","UCT",80,2005,1
"195","UCT",81,2010,1
"196","UCT",84,2012,1
"197","UCT",85,2002,1
"198","UCT",85,2006,1
"199","UCT",90,2002,1
"200","UCT",92,2009,1
"201","UCT",92,2010,1
"202","UCT",96,2011,1
"203","UCT",98,2011,1
"204","UCT",100,2000,1
"205","UCT",102,2009,1
"206","UCT",105,2001,1
"207","UCT",105,2006,1
"208","UCT",105,2011,1
"209","UCT",105,2017,2
"210","UCT",106,2010,1
"211","UCT",107,1997,1
"212","UCT",107,2005,1
"213","UCT",107,2017,1
"214","UCT",115,2006,1
"215","UCT",115,2009,1
"216","UCT",118,2008,1
"217","UCT",118,2017,1
"218","UCT",120,2010,1
"219","UCT",122,2015,1
"220","UCT",123,2004,1
