"","Year","Institution","Papers_Published"
"1",1996,"IOO",1
"2",1996,"JH",1
"3",1996,"KTHC",1
"4",1996,"MEDUNSA",1
"5",1996,"MPR",1
"6",1996,"UCT",5
"7",1996,"UKZN",1
"8",1996,"UNISA",3
"9",1996,"UP",2
"10",1996,"Wits",6
"11",1996,NA,4
"12",1997,"DUT",1
"13",1997,"IALCH",1
"14",1997,"LU",1
"15",1997,"NWU",1
"16",1997,"UCT",5
"17",1997,"UKZN",2
"18",1997,"UNISA",5
"19",1997,"UoP",1
"20",1997,"UP",1
"21",1997,"Wits",3
"22",1997,NA,2
"23",1998,"GH",1
"24",1998,"NMU",1
"25",1998,"NWU",3
"26",1998,"UCT",3
"27",1998,"UFS",1
"28",1998,"UNISA",3
"29",1998,"UP",2
"30",1998,"Wits",6
"31",1998,NA,3
"32",1999,"NMU",1
"33",1999,"UCT",6
"34",1999,"UKZN",2
"35",1999,"UNISA",3
"36",1999,"UP",5
"37",1999,"UWC",1
"38",1999,"Wits",11
"39",1999,NA,4
"40",2000,"HC",1
"41",2000,"MEDUNSA",3
"42",2000,"OVT",1
"43",2000,"RU",2
"44",2000,"SABRI",1
"45",2000,"SU",1
"46",2000,"UCT",11
"47",2000,"UDW",1
"48",2000,"UFS",2
"49",2000,"UKZN",5
"50",2000,"UNISA",8
"51",2000,"UP",4
"52",2000,"VMC",1
"53",2000,"Wits",4
"54",2000,NA,2
"55",2001,"CPUT",1
"56",2001,"HSRC",1
"57",2001,"NREBU",1
"58",2001,"RU",1
"59",2001,"UCT",2
"60",2001,"UDW",2
"61",2001,"UKZN",2
"62",2001,"UNISA",8
"63",2001,"UP",1
"64",2001,"UWC",1
"65",2001,"Wits",4
"66",2001,NA,3
"67",2002,"NWU",3
"68",2002,"UCT",9
"69",2002,"UKZN",6
"70",2002,"UNISA",8
"71",2002,"UP",4
"72",2002,"WH",1
"73",2002,"Wits",9
"74",2002,NA,1
"75",2003,"MEDUNSA",1
"76",2003,"MRC",1
"77",2003,"NWU",4
"78",2003,"UCT",5
"79",2003,"UIU",1
"80",2003,"UKZN",4
"81",2003,"UNISA",3
"82",2003,"UoT",1
"83",2003,"UP",2
"84",2003,"WH",1
"85",2003,"Wits",5
"86",2003,NA,7
"87",2004,"IALCH",1
"88",2004,"NWU",4
"89",2004,"RU",6
"90",2004,"UCT",9
"91",2004,"UKZN",5
"92",2004,"UL",1
"93",2004,"UNISA",8
"94",2004,"UP",4
"95",2004,"UWC",2
"96",2004,"Wits",14
"97",2004,NA,5
"98",2005,"NWU",3
"99",2005,"SU",2
"100",2005,"UCT",11
"101",2005,"UKZN",7
"102",2005,"UNISA",7
"103",2005,"UP",3
"104",2005,"Wits",10
"105",2005,"WSU",1
"106",2005,NA,3
"107",2006,"MRC",2
"108",2006,"NWU",5
